tweet,offensive
انا تعبت من هالمجتمع خلاص بهج  ابهام متجه لاسفل 🏻,0
بايع الكليجا بايع الكليجاهذا واله الفشله وقله الحياء الى الان ترند اعقلن يبنات جعلتس لذهاب انتي واياها قرد بحركه اليد لقول لا اري  قبضه موجهه للامام  وجه يشتاط غضبا ,1
ليه انهاردة جه ماكنا شفتنا ع التلات على طول بدل الاحلام المخترفه طول اليل و بسمع فى الحلم اغنيه كاظم مالى خلق احب وافترق نار العشق ناره تحرق حرق انا ايه الى فكرنى بام الاغنيه دى دلوقت عاه وجه منصدم  يارب عدى اليوم بقا بطنى كركبت,0
مستخدم وخاصة هلء في معارك انتخابية  وجه مكبوت ينفث البخار من انفه ,0
RT مستخدم يبي يقنع معزبه ان الخروف صديقه عشان ما يذبحه كسر خاطري  قلب مجروح  وجه مرهق  سكين المطبخ ,1
مستخدم حسبنا اله و نعم الوكيل في كل المتخاذلين أينما كانوا  وجه منصدم ,1
مستخدم لا والغسمه وجه غاضب ,0
مستخدم نحن العرب نقول لصفوين وأعداء الدين اﻹسلامي نفتخر بالسعوديه وحمايتهم لدول العربيه ولخليج العربي ولبيت اله وقبله المسلمين أما الصفوين ماهي إنجازاتكم سوي قتل المسلمين ونشر الفتن وقصف بيت اله  وجه بقناع طبي  شخص رافع يده  يد مرفوعه ,1
RT مستخدم اح يجن المقطع احلى منو مافي انا وخالتك والسواق تعنيف بكل قوتنا  علامه قبله  الاصبع الوسطي  قبله ,1
كسي نار وجه منصدم ,1
مادري صراحه اراجع الاختبار ولا البس ولا اقعد ابكي من عيوني  سكين المطبخ ,0
مستخدم ي لا سمح اله لك شو هالحكي وجه يشتاط غضبا ,0
مستخدم احمد و ربي انتا مجنون  وجه بدموع الفرح  قبضه موجهه للامام ,1
بعض من شهيدات الكويت  حرف رمز المؤشر الاقليمي كي  حرف رمز المؤشر الإقليمي دبليو  حرف رمز المؤشر الاقليمي كي  حرف رمز المؤشر الإقليمي دبليو أثناء الغزو العراقي الغاشم قاوموا الاحتلال بجميع صوره  قنبله  سيجاره  مطرقه  سكين المطبخ  مقبس كهرباء  تعذيب الشجاعة المقاومة الكويتية الخليج العربي,0
هل تعلم أكثر ما يفرح الانثى القصيرة هو أن تشاهد انثى أقصر منها  سكين المطبخ  وجه قمر جديد  وجه بدموع الفرح ,1
مستخدم مدري وشلون جايبين لنا مريضين نفسيا واله اشك ان شهاداتهم من اشهار يكرهون كل شي يكرهون الطاولات و الكتب و الطلاب فيهم طاقة كراهيه مو طبيعيه وجه بقناع طبي مع ذالك حاطينهم معلمين و هم اجل الجهلاء من تعاملهم و جاهم جنون العظمه و الطالب دايم عدوهم وجه بقناع طبي  انا الحمدله قوي لحستهم الأرض و اخذت شهادتي,1
RT مستخدم احك كسي بالمخده وسعابيله تنزل وجه يبكي بصوت عالي  نار  الاصبع الوسطي 🏻 تومبوي ليزبيان محنه كسي,1
مستخدم  حذاء رجل صفعه بهذا حجم راسك على قرعتك  وجه بدموع الفرح قال شنو قال صفعه  وجه بدموع الفرح ,1
مستخدم لا انقلعي سوري وهذي وتراك من زمان وانا اقول اني حاجزتهم وجه يشتاط غضبا ,1
بايع الكليجا لحين ترند ه وربي كبرين الموضوع خلاص عاد وجه مشمئز ,0
كره الكويتي لسعودي وراثه شعب نكر لجميل شعب خاين شعب يسوي كل شي من تحت لتحت ضد السعوديه والقهر يجحدون مساعدة السعوديه في تحرير الكويت ويقولون السعوديه نزلت جيشها عشان تحمي السعوديه مو حب في الكويت  الاصبع الوسطي 🏻 قلب مجروح  العيد الوطني الكويت,1
مستخدم اص انا مشغله الاشعارات وكل ما جاني اني مسويه تويت اروح افتح على طول بسطرك واله التويتس حقاتك الافضل ما اسمح لك  وجه يشتاط غضبا ,1
مستخدم بنت المغرب اشرف من الي صورت لا تعليق على كلامك ابو طبيع مايخلي طبعه وجه مشع بعيون مبتسمه  حمل ,1
مستخدم عملية التدريب على البرنامج الجديد لم ولن تم والسب لأن الشخص المسؤول نفسه لا يعرف أي شيء عن برنامج أوراكل هذا إذا عرف ما يعني كلمة أوراكل صراحة انا لا أعرف معناها  وجه غاضب ,1
مستخدم المشكله لو تسمع الكلام الي ينقال له وحده تقوله بكم المعمول ياعسل 🤮,0
صلاه الجنازه القادمه انتأعوذ باله الهم إجعلنا من طال عمره و حسن عمله  قبضه موجهه للامام 🏼إذا تكرهون الحياة براحتكم إحنا نحب الحياة و نرجوا الآخرةربنا آتنا في الدنيا حسنة و في الآخرة حسنةو قنا عذاب النار,0
RT مستخدم سحب مونديال قطر تحلمون الي فيه تفكرون قبضه موجهه للامام 🏻 ي التميمي مالها الا دارك بإذن اله  حرف رمز المؤشر الإقليمي Q  حرف رمز المؤشر الاقليمي أ  قلب احمر ️,0
تعبت من ثقل الحياة وجه منصدم ,0
مستخدم اطلق توأم  وجه يشتاط غضبا  قلب ازرق ,0
بايع الكليجاسبحان اله بعض العيال قاعدين يستشرفون علينا ويطلبون نغض بصرنا وهو اذا شاف حرمه عينه تقل بندق يشق هدومها من نظراته  الاصبع الوسطي 🏼,1
مستخدم من حقي افتخر بولد عمي الي هو يستحي والبنات ضعيفات الخلق والدين قدامه مايستحون فصار كنبينا يوسف انظلم بسب جماله وشكلك معصبه يمكن ماقدرتي تصورينه ه  ابهام متجه لاسفل 🏻,0
مسوي يكتب خواطر هو وجه الودر بس خواطره زينه اله ياخذه حذاء رجل ,1
بايع الكليجامجتمع مسكين عاطفي متهور أحيانا يمنح الشهرة لمن لا يستحقها غالبا كل هذا وهو بائع كليجا كيف لو شارك في قناة بداية سيصبح سيد المشاهير لدينا عندما يذهب حياء المرأة تصبح بلا قيمة ولا كرامة  ابهام متجه لاسفل ,1
احساس حلو لما تلاقى ربنا محب فيك خلقه وجه مبتسم بعيون مبتسمه وأنا الحمد اله محدش طايقنى وجه بدموع الفرح  قرد بحركه اليد لقول لا اري  قبضه موجهه للامام ,0
RT مستخدم الاخ ثامر وهو يحاول اظهار جماله الداخلي  كومة من البراز ,1
مستخدم واي م تذكريني كلام ريم امبارح  وجه بقناع طبي ,0
يحوم كبدي الشعر الي يوصل لاخر الظهر حتى لو كان الشعر حلو  وجه بقناع طبي ,0
مستخدم يانهار مش بايله لون  وجه بدموع الفرح حضرتك من ضرب لعض ورخامة وكل حاجة حلوة  وجه بدموع الفرح  قبضه موجهه للامام ,1
بوب كورنطفش من يجي فويز لمحترمين بس مابي مبزره وقلة حيا ولا أطعنكم واحد واحد شخص يخبط وجهه 🏻‍ رمز المؤنث ️ وجه مرتاح  سكين المطبخ ,1
بايع الكليجا مجانين شعب ناشف مو شايف خير وعينه فارغة  ابهام متجه لاسفل 🏻ه وجه بدموع الفرح ,1
شعب مريض نفسي حتى بالتويتر الكل شايف نفسه وجه مبتسم بقرون وعند البنات خرفان وعندي شيوخ ملطلطين وجه الضفدع  هزلت,1
مستخدم  الاصبع الوسطي 🏽 خذ,1
RT مستخدم مصطلحات مهمه بالكريبتو  ظهر يد تشير لاسفل 🏼FUDانك تخاف السعر ينزل فيك تحت الارض  وجه مكبوت ينفث البخار من انفه Fomoتخاف تروح عليك التخفيضات  وجه بدموع الفرح HoDLامسك ارضك ولا تبيع ب…,0
مستخدم سيء مع اختيارك لاسئلة والناس مافي حوار كان متع ولا حلقة كانت مشوقة لناس ان يجوفونها الحلقات كلها مجرد استهزاء وإحراج لضيف كنت من متابعينك ف المواسم الي قبل ولاسف اني كنت انطر تبتدي الحلقات وصراحة  ابهام متجه لاسفل ,1
افعل ما اريد انا و ليس ما تريده انت تذكر انها حياتي انا و ليس انت  قرد ,0
RT مستخدم على اي اساس سنه مكن تشروحون لعالم عشان الناس تفهم ولا الكل يقر من راسه مهزله ابهام متجه لاسفل 🏻,0
هسي عناب حتجي تقول لى اشربي من نفس الكأس البتشربينا منو  وجه بابتسامه خفيفه  سكين المطبخ ,0
مستخدم احوال العثيم الي برياض شفو لكم حل لمشكلتكم انا بطاقتي ماستلمتها لها شهر واكثر عدلو غلطكم حسبي اله عليكم حاطيني تجديد ونا فاقد  قبضه موجهه للامام 🏽 وجه منصدم ,0
مستخدم اله يقصر المسافات واصيدج سكين المطبخ  قنبله ,0
يا انام كل اليوم يا أواصل حل وسط ماعندي  ابهام متجه لاسفل 🏻 قلب مجروح ,0
مستخدم يليل اما حلقه حزينه  وجه بقناع طبي ,0
يطالبة إمسحي المسكرة لما تكون الأمن قاعدة وزهقانة  وجه الضفدع  قلب مجروح ,0
افضح معنفكالمفروض تعنفون لأنكم طلعتواجيل فاسدفارغ ما ينفع نفسه مابالك بأهلهإنعدام حياءوأخلاق نشوفهابالشارع والمولاتالجيل الي قبلكم ربوه المدرسين وربوه بالبيتأماأنتم أسخف وأجهل وأغبى منكم مافيهجيل فاسدفارغ بكل ماتعنيه الكلمةنحتاج تجنيداجباري يعدل سلوكم وقصكم وسواراتكم وجه غاضب ,1
شينو متحطم من طلابه  وجه يبكي بصوت عالي  قلب مجروح  حسبي اله عليكم يالجيل المدلع هذا الي مو مالي عينكم ارهب منكم كلكم  وجه يشتاط غضبا ,1
وش قلت الأدب هاذي فديتكم  وجه يشتاط غضبا خلو الرجال يسترزق  ابهام متجه لاعلي  بايع الكليجا,1
من يومهم الهنديات متخلفات وسليطات قرف يقرفهم وجه بقناع طبي ,1
RT مستخدم هنا المخرج حمار وجه الحصان  لم يغطي الشيبس بالرماد فيلم غبي فاشل  وجه مبتسم بقرون ,1
 حمل  نعجه  ماعز  حمل  نعجه  ماعز  حمل  نعجه  ماعز الهندي قاعد يثبت لمعزب إن الخروف  نعجه صار صديقه حتى ما يذبحه  وجه بدموع الفرح ,0
مستخدم تراني اعرف من زمان انه مشي فيكن  وجه قلق متعرق  وجه بقناع طبي ,0
RT مستخدم ☆ ڤيديو تحديث تايكون على الانستغرام  قبضه موجهه للامام  ظهر يد تشير الى اليمين  يد مرفوعه 🤪,0
مستخدم يمال شقول وين راحت سوالفكم الشكل مايهم اهم شي الاخلاق  سكين المطبخ  وجه يشتاط غضبا ,0
مستخدم لو كنت قريت كلمة تصفية دي قبل الباك ماكنتش عملته  وجه بدموع الفرح  مادام في تصفية بقي كنت طلعت فيه  قبضه موجهه للامام ,0
مستخدم دبا  قبضه موجهه للامام 🏻,0
مستخدم عيل م بكتب  وجه مكبوت ينفث البخار من انفه ,0
انا بحس باذلال حقير جدا لما محضرش محاضرة او يفوتني يوم في الكلية او اوصل متأخر و اخش المدرج كده يلاهوي  وجه منصدم و يسلام بقا لما حد و انا طالع يقولي انت رايح فين دلوقتي نقلب مواجعنا نقلب  وجه الطالب المجتهد ,0
مستخدم على أساس ما ابلشتونا بأم غمزة  وجه بدموع الفرح  وحدة بوحدة  قبضه موجهه للامام 🏻,0
مستخدم التوزان مهم بين العقل والقلب في جميع العلاقات إما يعمل فيها كل ذا وتقول اعشقه  ابهام متجه لاسفل بالنهاية تحسب مصلحتها وين وين اقل الاضرار بتكون لها هل مع أهلها او معه وتقر,0
بايع الكليجا بايع الكليجا وش ذا اوك حلو اوك رزه اوك انسان فخم لكن سلامات الي قاعد يصير قلة ادب وصاخه ومافي احترام وهو لو مو عاجبه الوضع كان بلغ او معاد جا بس مستانس الاخ عالمق الي جالسه تصير وجع مجتمع يفشل🤮,1
مستخدم اشهد انش صادقه وش ذا الانحطاط  ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻,1
مستخدم يشكر ليش دمر النادي  قبضه موجهه للامام  ابهام متجه لاسفل 🏻,0
صديقاتي اليوم مدري منفسين بزياده ولا انا الي دمي ثقيل  وجه مشمئز  وجه بابتسامه خفيفه ,1
بايع الكليجا اشغلتونا ارتقوا  وجه بقناع طبي ,0
عنز  ماعز ,1
مستخدم ه شدعوا كليتوها واضح انها تمزح  وجه بابتسامه خفيفه  المشكله نصهم مسوين تربيه وحركات وهو كلامه كله سب  وجه بقناع طبي  اله لايبلانا بس,1
كذا نقول صباح الرايقين والمروقين  وجه قطه بدموع الفرح  قلبين  قبضه موجهه للامام 🏻,0
RT مستخدم اله يفشلهن مشفوحات  وجه بقناع طبي ,1
ليه ماتحدث بفيسك  وجه يشتاط غضبا ,0
مستخدم اخ وجه مكبوت ينفث البخار من انفه خ ت اندفاع لبعيد ف ليگ تنزل الفيديوه وفيه اهانه لزعيمنا مٰ❧•نٚ واحد حقير مٰ❧•نٚ ابوه حتى يسب ويشتم هذا النذل التافه,1
مستخدم يمه ي زينه قلبين  ويعدين الحين صار المساء قبضه موجهه للامام 🏻,0
بايع الكليجاخربتوا ثقالتنا في هالهاشتاق  وجه ضاحك  قبضه موجهه للامام 🏽,0
بدل ماتمشي تبص ع بنات الناس امشي بص ف الارض يمكن تلاقيمشبكين لأمك  وجه غير راضي  وجه الضفدع  قلب مجروح ,1
RT مستخدم قتلني التعليق وجه بدموع الفرح  قبضه موجهه للامام ,0
RT مستخدم رسالة السيسي بالزي العسكريلن تنالوا من عزائمنالشعب المصرى ظهير الجيش قبضه موجهه للاعلي والجيش المصرى حامى الحمى قبضه موجهه للامام سينقض عليكم برا وبحرا…,0
مستخدم  وجه يبكي بصوت عالي وربي انها حي من حياء الرياض خلي النادر يتمسخر عليكم بكيفكم  وجه يشتاط غضبا ,1
مستخدم ي شينك بس  وجه غير راضي  سكين المطبخ  لق لق لق ع الفاضي حاشر نفسك ف كل هاشتاق ي فيلسوف زمانك  وجه بتشميقه ,1
أفضح معنفك معلمات الابتدائية الثلاثون بالطائف ابو النفسيات عندهم متفنات في الضرب نجاة قواس كانت تضربنا لانا غايبن بعذر مرضي واضح علينا المرض وخيريه عطار تضرب وتذل وتهين والحين هي مديرة لمدارس الجيل تدعو لرحمه والطيبه ابهام متجه لاسفل 🏿,1
RT مستخدم  الاصبع الوسطي 🏿في ايران,1
مستخدم قل خير ولا اصمت  وجه غاضب ,1
مستخدم واله يا ليتني بامزح او ابالغلأسف المدارس الحكومية مليانة مدرسات بأمراض نفسية ومن ارذل الخلق وجع في اشكالهماحس امكن كانو يعذبونا اكثر لأن البنت عادي ضعيفة وتسكت في الابتدائي ابويا اضطر يتصل على المدرسة مرات عشان يشتكي ويقولهم خير ايش بتسو في بنتي  وجه يشتاط غضبا ,1
مستخدم نعم خير انتي  سكين المطبخ  وجه مبتسم باستهزاء ,0
مستخدم المفروض ردا عليهتقول نحصرها بين اول اربعه بالدوريلأن النصر بعد مواجهة الاتحاد بيطيح لخامس ان شاء اله وانا احب الي يتندم على كلامه يحسد الباطن لأن افضل منهطيب احسده واجتهد نفسه  قبضه موجهه للامام 🏻,0
معليه في الوكيند يصير خير  وجه غاضب ,0
اله يغثكم غثيتونا  وجه بقناع طبي  بايع الكليجا,1
منتدي عمان لموارد البشريه رؤيه بلا عمل مجرد حلم وعمل بلا رؤيه مجرد تمضيه وقت أما الرؤيه مع العمل فيمكن أن يغيرا العالم  وجه بقناع طبي  يد مرفوعه  شخص رافع يده ,0
كل شي هضمته بتويتر الالي الشخص الي يرتوت لتغريدات ترتوتها انت وما يرتوت لتغريداتك يعني تغريداتي مو قد المقام  وجه غاضب ,0
RT مستخدم اصرخي اصرخي وابكي يكلبتي مستفحله قدامهم وبالغرفه تشكين من تعذيبي ونيكي فيك بروضك واهينك لحد ماتخضعين لي مثل الكلبه علامه قبله  الاصبع الوسطي  لسان  ht…,1
RT مستخدم مترجم الحلقة من ويكلي ايدول بحضور سفنتين لترويجات كومبتا  زهره الكرز  قلب بنفسجي •استمتعوا كاراتز  وجه وحيد القرن ,0
بايع الكليجاكل شخص اذا شاف شيء عجبه اكيد بيطالع ويمشي ويذكر اله بينه وبين نفسه بس مو توصل لتصوير والكلام والملاحقوالتغزل قدامه عيني عينكبنات ماتربن وماعلى روسهن رجال هايتات بالشوارع مع بنات السوء اله يمحيكن ونرتاح منكم يافله انتي ياحريه  حذاء رجل ,1
و اليوم لي يتوب علينا فيه منها يشيلونا لاب  وجه الضفدع ,0
اله يلعنك يلي طرشت الفايروس ف الوتساب  وجه بابتسامه خفيفه  وجه يشتاط غضبا  قبضه موجهه للامام 🏻,1
مستخدم حيل حيل  وجه بفم مغلق بسحاب  وجه بقناع طبي ,0
مستخدم شف انت وجه غير راضي  قبضه موجهه للامام  الدوام حلو اصلا وجه يبكي ,0
بايع الكليجاوش هالجيل الفاسد  وجه بقناع طبي  ويقولون ليه كثر الطلاق مافي تربيه ترى شي مخزي الي قاعد يصير,1
اكتر ناس بتغلط وحياتها كلها غلط هم اكتر ناس علي لسانهم الكلمه دي  قبضه موجهه للامام ,0
سعودياتxنطلبxاسقاطxالتعد تخيلوا بس اخذ متزوج نام مع وحده غيري  وجه مشمئز مجرد تفكير يجيب لي غثيان كيف لو ارضى 🤮 يع لايمكن  كومة من البراز ,1
RT مستخدم بايع الكليجاها لو اني محله لا ارفع سعر الكليجا بيجون على جماله لكن الغبي غبي قبضه موجهه للامام ,1
نايس كبس شتا و نسيت جاكيتي ولابسة صوف  وجه الضفدع  يعني مثل الاسفنجة رح اصير,0
RT مستخدم طرق ربطات ابداع صراحة  حذاء للركض  حذاء رجل ,0
اله يرزقني ثقة الي ترش عطر خايس  وجه يبكي بصوت عالي  وجه بقناع طبي ,1
الستوري منور بالشباب ماشاءاله طبعا نتحاسب عليها بعدين يا احمد صورهم كلهم الا بو مشاعل وجه غاضب ,0
RT مستخدم تجن وهي نايمه وجه مصاب بدوار  وجه منصدم خير هاذي بكل حالاتها حلوه,0
مستخدم نقطة هدايا نقاطي🐨 وجه الباندا 🐨 وجه الباندا 🐨 وجه الباندا 🐨 وجه الباندا 🐨 وجه الباندا  وجه دب  وجه الثعلب  وجه دب  وجه الثعلب  وجه دب  وجه الثعلب  وجه دب  وجه الثعلب  وجه دب  وجه الثعلب  وجه دب  وجه الثعلب  وجه القطه  وجه الكلب  وجه القطه  وجه الكلب  وجه القطه  وجه الكلب  وجه القطه  وجه الكلب  وجه القطه  وجه الكلب  وجه القطه  وجه الكلب  وجه الباندا  وجه دب ,0
مستخدم ياعم وين هو وين النجوميه  وجه بدموع الفرح  اله يتقبل منه وهذا واله مو لاعب الا عامل مع السباك ريبوف واله يعيروا الزين ويجيبوا هذا  وجه مكبوت ينفث البخار من انفه ,1
RT مستخدم وبغزل عرآقي وجه نائم  حركه اليد لقول حسنا ضم شوفگ آلي لغيري آلنظر منوعتصد لعيون غيري شحدهآ وشحدگ قرد بحركه اليد لقول لا اتكلم  سكين المطبخ  وگل شي إلي بيہ لگ ي آلتدري آموتن بيگ آ…,0
مستخدم انا الهيئة عطيني اوصاف الشكل حقه وعطيني سنابك اتواصل معك عشان انتقم منه ابن الذينا وجه يشتاط غضبا ,1
مستخدم اي خير بشوفتك  وجه غاضب ,0
احب اقول لشخص البجيني كتير في احلامي هي انت لقد اخذت حيزا كبيرا من احلاميهي انت لقد نفد رصيدك كفاية كدهي انت حبوبتك ما تجي تاني  وجه غير راضي  قبضه موجهه للامام ,0
الواقع بنظرة متابعهل تعلم أن الموفد الوهابي الذي وصل لبنان قادم لنباح ضد حزب اله وجه غاضب خلال أسبوعين تم تركيز البيت الأسود على لبنان بزيارة معاون وزير الخارجية ساترفيلد استمرت أياموهل تعلم أنه عندما كان سفيراكان منحاز ضد حزب اله علم مثلث وهل تعلم أنه كان على علاقة سريةمع سورية وجه مذهول ,1
مستخدم يابنات خقوا ع الخروف ذا مع راعي الكليجا امباع  نعجه  وجه بدموع الفرح ,1
مستخدم لبى الكلام الفلسفي  وجه بدموع الفرح  قلب بسهم  قبضه موجهه للامام 🏻,0
نفسى فى حاجات كتير اوى السنه دى بس اهمها انى اخلص من ام الكليه دى  وجه غاضب ,0
RT مستخدم أنا مكن أسامح كل الناس  مقص  ورقه شجر ترفرف في مهب الريح  قلب مجروح  إلا الي كان يفتحلي علبة العصير ونا صغيرة ويشربلي نصها  وجه غير راضي  وجه الضفدع  وجه بدموع الفرح  وجه الضفدع ,0
مستخدم انتي هتقوليلي  وجه بدموع الفرح  قبضه موجهه للامام  قبضه موجهه للاعلي ,0
RT مستخدم بسم اله ماشاءاله غطو علي في شغلة المباحث باله اذا يقدرون يجيبون لي اسئله اختبار القدرات  وجه قمر جديد  سكين المطبخ ,0
مستخدم غير صحيح تقدرين تشتكين من الشرطة وترفيعها لمحكمة بدون ولي امر لكن واضح أنكم مع الخيل ي شقراء  ابهام متجه لاسفل 🏻,1
مستخدم داومي اول شي بعدين اتغزلي في حبيب القلب  وجه يشتاط غضبا  وجه يغمز ,0
مستخدم عليش بهم  وجه مكبوت ينفث البخار من انفه ,0
حكمه اعجبتني تعيش الاغنام نعجه  حمل  طول حياتها خائفة  وجه القط مكتئب من الذئاب  وجه الذئب ثم يأكلها الراعي  رجل 🏻‍ حزمه ارز كن حذرا من تمنحه الثقه وتظنه صديقك وهو عدوك وجه مفكر  وجه غير راضي ,0
RT مستخدم Olympics EXO EXOL BestFanArmy iHeartAwards مستخدم اداء اكسواكثر سيارات تم طلبهالأطفائيه لأنتيز وجه الضفدع  سيجاره و الأسع…,0
مستخدم ليش ليش الاسمر  وجه غاضب ,0
لا احد يقوى على شهوتي  نار  الاصبع الوسطي 🏾,1
مباحث واله مباحث وجه بدموع الفرح  سكين المطبخ ,0
RT مستخدم انا باقي بطل بيتفول  وجه القرد ,0
مستخدم شرط جزائي  وجه منصدم  قلب مجروح ,0
مستخدم ياليتك مأكل تبن اله يقطع ذا الوجه معاك ياليبرالي انتم كل شي ترمونه على الدين اهلهم ماعرفو يربونهم الي سوه قلة حياء ماهم متربين  وجه بقناع طبي ,1
مستخدم اقول انقلعي وانتي ساكته بس الدوام م راح تحسبن بقيمته الا اذا خلصتي تمنين يرجع قبضه موجهه للامام 🏻,1
مستخدم من زينتس بعد يخطفتس وجه بقناع طبي ,0
كفايه رإطواتس لصورة الكلب وجه الكلب والحاجه🧕 خلاص كلها بقت كلبجيه اتفو  قطرات عرق  وجه يرسل قبله ,1
مواقف صغير كافيه بأنها تكشف حقيقة كل شخص وكمية الحسد والكره الي بقلبه  وجه بقناع طبي  قلب مجروح ,0
ياربي من الصباح تطلع بوجهي ناس تقول شيخه حشي فيني  وجه بقناع طبي ,0
مستخدم الشيخ النابلسي سمعتها لكن ذاكر نايت دك باش عرفت  وجه يبكي  قلب مجروح  تبا لقنوات العار  وجه يشتاط غضبا ,1
مستخدم بعد ما مسحت التويتة اصلا  وجه غير راضي  قبضه موجهه للامام ,0
مستخدم حسبي اله ونعم الوكيل شكلهم ناوين يطيرون سيرا  ابهام متجه لاسفل ,1
فضحتونا يا محونات تزوجو وفكونا شركم  وجه بقناع طبي  بايع الكليجا,1
مستخدم اه يا كلبة  وجه مندهش  قلب مجروح  قبضه موجهه للامام 🏻,1
امنيه بقت بتشتمني كتير ومش طيقاني يا ماما  وجه يبكي بصوت عالي البيست فريند الكلبه  كلب   كلب   كلب   قرد بحركه اليد لقول لا اري  وجه بدموع الفرح  مستخدم,1
مستخدم لتشيگ مزآرعگم  مطرقه  سكين المطبخ  وجه بدموع الفرح  حركه اليد لقول حسنا ,0
مستخدم دائما مواضيعهم تافهة مثلهم  وجه بقناع طبي ,1
فكرة إني مبعرفش أكسف حد دي خدت من حقي كتير واله  يد مرفوعه  قلب مجروح  وجه يشتاط غضبا ,0
مستخدم ياشيخ كل بعر وعض ع شحمه بس انتم مسخره والي وراكم ومدعوس عليكم ب البساطير  حذاء رجل ,1
RT مستخدم مافي قلع قروش اكتر من الجنيه البدوك بدلو لبانه دا واله وجه مكبوت ينفث البخار من انفه ,0
RT مستخدم مساء الرقص  حذاء بكعب عال  نار  زر التكرار ,0
مستخدم خلاص كذا تعادلنا لعد تعيدونها وجه بدموع الفرح  قبضه موجهه للامام 🏻 وجه قمر جديد ,0
مستخدم وش ذا الفيس  وجه الضفدع  يا راكان تحاول تستفزنا ولا كيف أنا أصلا شاك فيك انك خدمي مندس اظهر على حقيقتك  وجه بدموع الفرح  قلب مجروح ,1
A Joy Story Joy اند Heron via مستخدم جي فيلم دقائق معدودة استغرق العمل شهرا فازعلى أضخم الجوائز والفيلم بدون محادثة  عيون  الاصبع الوسطي ,0
منك له يامخرج الفلس قطعة علينا سالفة السمك  وجه غير راضي  سكين المطبخ ,1
مستخدم رح شف كيف مستلم ملفي وقعد يحل ويسب لو محترم احترمته بس كاتب استحمار  وجه مقلوب  وجه بقناع طبي ,1
مستخدم لا تزعل بنخليك تشيل ثقالات  قبضه موجهه للامام 🏻 قبضه موجهه للامام 🏻,0
مستخدم انقلع بترجع مره ثانيه انا كنت بتركيا شهور  وجه غاضب ,1
مستخدم انتو برا الموضوع  وجه بقناع طبي الاعداء في العبه هم التكفيرين قوم داعش  وجه مفكر ,1
مستخدم خطر  وجه غاضب ,0
مستخدم ي طحلبي ي عزيزي مشكلتك ما تفهم بذي الامور توك من سنتين تنافس نعذرك بس كلام القيامة فعلا كلام واحد متعصب من حق اي نادي ينافس ويستغل الظروف اما الاهلي فصدقني انت اخر من يتكلم عن الظلم لان لو نتكلم جد انت مكانك مع الوحدة والحزم فرجع لمستنقعك ايها الضفدع المقهور  وجه بدموع الفرح  وجه الضفدع ,1
RT مستخدم حب من غير ماتعلق  ابهام متجه لاعلي وصاحب من غير ماتدي امان  وجه مبتسم ومهما وقعت موت وانت واقف على رجليك  قبضه موجهه للامام ,0
مستخدم ياشينك تكفا وحاطلي تعداد بعد  وجه مشمئز  قلب مجروح  ماهي من الرزانه ولا العقل ولا منطق ابدا بنات يتجمهرون ع رجال مافيه اي حيا لدرجة صار يغطي وجه لو هو مسوي العكس كان قلت تحرش يالنسونجي,1
RT مستخدم منو يبا يطر خبقى طر  قرد بحركه اليد لقول لا اري  قرد بحركه اليد لقول لا اتكلم  قرد بحركه اليد لقول لا اسمع  ,1
مستخدم يعم هو الي مطلعها اساسا  وجه بدموع الفرح  انت نسيت هتفع يعني هتفع  وجه بدموع الفرح  قبضه موجهه للامام ,0
هتوحشني🤮,0
مستخدم لعنه تلعنه ومن على شاكلته يطلع ضغوطه النفسيه على بنات ديرته  وجه بقناع طبي ,1
مستخدم طيب لا تدف  وجه مكبوت ينفث البخار من انفه  يتدحرج على الارض من الضحك ,0
ش الصداع يذبح  وجه متعب  قبضه موجهه للامام ,0
مستخدم حلوة وجه بدموع الفرح  قبضه موجهه للامام الحب مدرسة انتي اجمل فصولها  قرد بحركه اليد لقول لا اري  وجه بدموع الفرح   وجه يسيل لعابه  وجه بدموع الفرح ,0
لاسف مجلس الاداره  ابهام متجه لاسفل 🏻,0
مستخدم كسمك انت وإسرائيل  الاصبع الوسطي ,1
بايع الكليجا عطوه اكبر من حجمه وجه محايد  قبضه موجهه للامام 🏻فشلونا يتدحرج على الارض من الضحك  وجه مبتسم متعرق ,1
RT مستخدم تاجر شقه ومامعها التمن تعرى لحمها لصاحب البيت سكس ثور  تمساح ,1
ذولي بالذات ذبحوني ذبحوني شهذا الجمال نعم خير  وجه يشتاط غضبا  قلب مجروح ,0
بس الحنين بعدو معي قلب مزخرف  زعلان ومش راضي مني تطلعي قلب مجروح  امبارح حلفلي يمين بعيونك الحلوين انك لعندي رح ترجعي  وجه مقلوب الاغنيه دي خيال  قرد بحركه اليد لقول لا اري  قرد بحركه اليد لقول لا اسمع  صباح الخير  قلب مزخرف ,0
وش ذا الخقه ياتافه انتي وياها شويه سحى باله و استحو ع وجيهكم فشلتونا كل شوي تصوير خلاص بس اهجدو الشره ع الي معطينكم جولات يابزارين  شخص يخبط وجهه 🏼‍ رمز المؤنث ️ قبضه موجهه للامام 🏻 بايع الكليجا,1
خلاص بلا خصم  وجه غاضب  وجه يبكي بصوت عالي ,0
